Area of park,Population year,Species name,Fall population estimate,Estimate method
North,1905,Elk,20,Ground
North,1905,Deer,35,Ground
North,1905,Moose,0,Ground
North,1906,Elk,24,Ground
North,1906,Bison,190,Ground
North,1906,Deer,35,Ground
North,1906,Moose,0,Ground
North,1907,Bison,411,Ground
North,1907,Deer,30,Ground
North,1907,Elk,24,Ground
North,1907,Moose,0,Ground
North,1908,Bison,426,Ground
North,1908,Elk,26,Ground
North,1908,Deer,30,Ground
North,1908,Moose,3,Ground
North,1909,Elk,30,Ground
North,1909,Bison,45,Ground
North,1909,Deer,54,Ground
North,1909,Moose,5,Ground
North,1910,Bison,48,Ground
North,1910,Elk,28,Ground
North,1910,Deer,45,Ground
North,1910,Moose,19,Ground
North,1911,Bison,60,Ground
North,1911,Elk,36,Ground
North,1911,Deer,60,Ground
North,1911,Moose,18,Ground
North,1912,Bison,71,Ground
North,1912,Elk,40,Ground
North,1912,Deer,52,Ground
North,1912,Moose,21,Ground
North,1913,Bison,82,Ground
North,1913,Elk,41,Ground
North,1913,Deer,80,Ground
North,1913,Moose,26,Ground
North,1914,Bison,100,Ground
North,1914,Elk,50,Ground
North,1914,Deer,90,Ground
North,1914,Moose,31,Ground
North,1915,Bison,106,Ground
North,1915,Elk,75,Ground
North,1915,Deer,100,Ground
North,1915,Moose,40,Ground
North,1916,Bison,134,Ground
North,1916,Elk,100,Ground
North,1916,Deer,111,Ground
North,1916,Moose,46,Ground
North,1917,Bison,151,Ground
North,1917,Elk,103,Ground
North,1917,Deer,115,Ground
North,1917,Moose,52,Ground
North,1918,Bison,195,Ground
North,1918,Elk,106,Ground
North,1918,Deer,125,Ground
North,1918,Moose,57,Ground
North,1919,Bison,202,Ground
North,1919,Elk,150,Ground
North,1919,Deer,150,Ground
North,1919,Moose,62,Ground
North,1920,Bison,230,Ground
North,1920,Elk,174,Ground
North,1920,Deer,150,Ground
North,1920,Moose,67,Ground
North,1921,Bison,270,Ground
North,1921,Elk,200,Ground
North,1921,Deer,155,Ground
North,1921,Moose,70,Ground
North,1922,Bison,292,Ground
North,1922,Elk,189,Ground
North,1922,Deer,158,Ground
North,1922,Moose,77,Ground
North,1923,Bison,320,Ground
North,1923,Elk,223,Ground
North,1923,Deer,300,Ground
North,1923,Moose,101,Ground
North,1924,Bison,404,Ground
North,1924,Elk,311,Ground
North,1924,Deer,294,Ground
North,1924,Moose,150,Ground
North,1925,Bison,469,Ground
North,1925,Elk,400,Ground
North,1925,Deer,292,Ground
North,1925,Moose,200,Ground
North,1926,Bison,550,Ground
North,1926,Elk,415,Ground
North,1926,Deer,288,Ground
North,1926,Moose,250,Ground
North,1927,Bison,729,Ground
North,1927,Elk,500,Ground
North,1927,Deer,200,Ground
North,1927,Moose,357,Ground
North,1928,Bison,823,Ground
North,1928,Elk,454,Ground
North,1928,Deer,200,Ground
North,1928,Moose,400,Ground
North,1929,Bison,716,Ground
North,1929,Elk,453,Ground
North,1929,Deer,199,Ground
North,1929,Moose,470,Ground
North,1930,Bison,863,Ground
North,1930,Elk,500,Ground
North,1930,Deer,220,Ground
North,1930,Moose,500,Ground
North,1931,Bison,1000,Ground
North,1931,Elk,467,Ground
North,1931,Deer,209,Ground
North,1931,Moose,550,Ground
North,1932,Bison,1340,Ground
North,1932,Elk,700,Ground
North,1932,Deer,219,Ground
North,1932,Moose,396,Ground
North,1933,Bison,1740,Ground
North,1933,Elk,1000,Ground
North,1933,Deer,232,Ground
North,1933,Moose,366,Ground
North,1934,Bison,2000,Ground
North,1934,Elk,1400,Ground
North,1934,Deer,246,Ground
North,1934,Moose,500,Ground
North,1935,Bison,2479,Ground
North,1935,Elk,1979,Ground
North,1935,Deer,261,Ground
North,1935,Moose,760,Ground
North,1936,Bison,2039,Ground
North,1936,Elk,1997,Ground
North,1936,Deer,260,Ground
North,1936,Moose,774,Ground
North,1937,Bison,2131,Ground
North,1937,Elk,1272,Ground
North,1937,Deer,27,Ground
North,1937,Moose,775,Ground
North,1938,Bison,1795,Ground
North,1938,Elk,574,Ground
North,1938,Deer,28,Ground
North,1938,Moose,439,Ground
North,1939,Bison,1104,Ground
North,1939,Elk,488,Ground
North,1939,Deer,25,Ground
North,1939,Moose,247,Ground
North,1940,Bison,1464,Ground
North,1940,Elk,532,Ground
North,1940,Deer,24,Ground
North,1940,Moose,123,Ground
North,1941,Bison,1624,Ground
North,1941,Elk,550,Ground
North,1941,Deer,22,Ground
North,1941,Moose,144,Ground
North,1942,Bison,1286,Ground
North,1942,Elk,631,Ground
North,1942,Deer,24,Ground
North,1942,Moose,190,Ground
North,1943,Bison,1373,Ground
North,1943,Elk,800,Ground
North,1943,Deer,40,Ground
North,1943,Moose,265,Ground
North,1944,Bison,1150,Ground
North,1944,Elk,635,Ground
North,1944,Deer,72,Ground
North,1944,Moose,294,Ground
North,1945,Bison,1296,Ground
North,1945,Elk,723,Ground
North,1945,Deer,96,Ground
North,1945,Moose,325,Ground
North,1946,Bison,1085,Ground
North,1946,Elk,851,Ground
North,1946,Deer,95,Ground
North,1946,Moose,390,Ground
North,1947,Bison,1291,Ground
North,1947,Elk,751,Ground
North,1947,Deer,100,Ground
North,1947,Moose,487,Ground
North,1948,Bison,1496,Ground
North,1948,Elk,830,Ground
North,1948,Deer,96,Ground
North,1948,Moose,382,Ground
North,1949,Bison,1167,Ground
North,1949,Elk,674,Ground
